,PROVINCIAS,MUNICIPIO,TIPOCENTRO,NOMBRE,DIRECCION,CP
0,ALMERÍA,Almería,CENTRO SALUD,ALMERÍA CENTRO,"C/ SAN LEONARDO, Nº 7",4001
1,ALMERÍA,Almería,CENTRO SALUD,NICOLÁS SALMERÓN,CL HOSPITAL,4002
2,ALMERÍA,Almería,CENTRO SALUD,ALBORAN,"C/ ALPUJARRAS, S/N",4007
3,ALMERÍA,Almería,CENTRO SALUD,MEDITERRANEO TORRECARDENAS,"AVDA. MEDITERRANEO, S/N",4009
4,ALMERÍA,Almería,CENTRO SALUD,VEGA DE ACÁ,"CL PILAR MIRÓ, Nº 51",4007
5,ALMERÍA,Almería,CENTRO SALUD,OLIVEROS,"C/ MAESTRO SERRANO, S/N",4004
6,ALMERÍA,Almería,CENTRO SALUD,NUEVA ANDALUCÍA,AV DEL MEDITERRÁNEO,4006
7,ALMERÍA,Almería,CENTRO SALUD,CRUZ DE CARAVACA,"C/ QUINTA AVENIDA, S/N",4008
8,ALMERÍA,Almería,CENTRO SALUD,PLAZA DE TOROS,"C/ CONDE VILLAMONTE, S/N",4008
9,ALMERÍA,Almería,CENTRO SALUD,CASA DEL MAR ALMERÍA,"PQ. NICOLAS SALMERON, Nº 64",4002
10,ALMERÍA,Almería,CENTRO SALUD,VIRGEN DEL MAR,"C/ HAZA DE ACOSTA, S/N",4009
11,ALMERÍA,Almería,CENTRO SALUD,LA CAÑADA,"C/ URREA ACOSTA, S/N",4120
12,ALMERÍA,Almería,CENTRO SALUD,CIUDAD JARDÍN,"PLAZA ESPAÑA, S/N",4007
13,ALMERÍA,Almería,CONSULTORIO LOCAL,EL ALQUIÁN,"C/ LAS OLAS, S/N",4130
14,ALMERÍA,Almería,CONSULTORIO LOCAL,COSTACABANA,"C/ RILKE, Nº 226",4120
15,ALMERÍA,Almería,CONSULTORIO LOCAL,LLANOS DE LA CAÑADA,"CL EL BOTICARIO, S/N",4120
16,ALMERÍA,Almería,CONSULTORIO LOCAL,CABO DE GATA,"PLAZA SAN FRANCISCO,S/N",4150
17,ALMERÍA,Almería,CONSULTORIO LOCAL,LOS MOLINOS,C/ BEGONIA,4009
18,ALMERÍA,Almería,CONSULTORIO LOCAL,PUCHE,AVDA. MARE NOSTRUM S/N,4009
19,ALMERÍA,Almería,CONSULTORIO LOCAL,RETAMAR,"PP DEL TOYO, S/N",4130
20,ALMERÍA,Almería,CONSULTORIO LOCAL,CUEVAS DE LOS MEDINAS (CONSULTORIO AUXILIAR),"C/ CUEVAS DE LOS MEDINAS, S/N",4160
21,ALMERÍA,Alboloduy,CONSULTORIO LOCAL,ALBOLODUY,"C/ IGLESIA, Nº 1",4531
