n_mun,dir_tipo_via,Dir_Via,dir_cp,n_mun,N_PROV
Ababuj,C/,"Iglesia, 8",44155,Ababuj,TERUEL
Abades,C/,"Santo Cristo, 1",40141,Abades,SEGOVIA
Abadía,Plaza,"de España, 3",10748,Abadía,CÁCERES
Abadín,C/,"General Franco, 29",27730,Abadín,LUGO
Abadiño,,"San Trokaz Plaza, s/n",48220,Abadiño,BIZKAIA
Abáigar,C/,"San Vicente, s/n",31280,Abáigar,NAVARRA
Abajas,Ctra.,"Villarcayo, s/n",9141,Abajas,BURGOS
Ábalos,Plaza,"Martín Fernández de Navarrete, 1",26339,Ábalos,LA RIOJA
Abaltzisketa,Plaza,"de San Juan, s/n",20269,Abaltzisketa,GIPUZKOA
Abánades,Calle,"Real,1",19432,Abánades,GUADALAJARA
Abanilla,Plaza,"de la Constitución, 1",30640,Abanilla,MURCIA
Abanto,Av.,del Minero,20288,Abanto,ZARAGOZA
Abanto y Ciérvana-Abanto Zierbena,Av.,"dell Minero, 2",48500,Abanto y Ciérvana-Abanto Zierbena,BIZKAIA
Abarán,Plaza,"Vieja, 1",30550,Abarán,MURCIA
Abarca de Campos,Calle,"Mayor, 5",34338,Abarca de Campos,PALENCIA
Abárzuza,Plaza,"Mayor, s/n",31178,Abárzuza,NAVARRA
Abaurregaina/Abaurrea Alta,C/,"San Pedro, 16",31692,Abaurregaina/Abaurrea Alta,NAVARRA
Abaurrepea/Abaurrea Baja,Calle,"Mayor, 5",31692,Abaurrepea/Abaurrea Baja,NAVARRA
Abegondo,C/,"San Marcos, s/n",15318,Abegondo,A CORUÑA
Abejar,C/,"Barrancazo, s/n",42146,Abejar,SORIA
Abejuela,Calle,"Mayor, 10",44422,Abejuela,TERUEL
Abella de la Conca,C/,"Espiguet, s/n",25651,Abella de la Conca,LLEIDA
Abengibre,Av.,"de Castilla-La Mancha,s/n",2250,Abengibre,ALBACETE
Abenójar,Plaza,"de la Constitución, 3",13180,Abenójar,CIUDAD REAL
Aberin,Calle,"Mayor, 35",31264,Aberin,NAVARRA
Abertura,Plaza,"de España, 1",10262,Abertura,CÁCERES
Abezames,Ctra.,"Pozoantiguo, s/n",49834,Abezames,ZAMORA
Abia de la Obispalía,Plaza,"del Ayuntamiento, 1",16195,Abia de la Obispalía,CUENCA
Abia de las Torres,Plaza,"Mayor, s/n",34491,Abia de las Torres,PALENCIA
Abiego,C/,"Uchallo, 5",22143,Abiego,HUESCA
Abizanda,C/,"Entremuro, 2",22392,Abizanda,HUESCA
Abla,Plaza,"Mayor, 6",4510,Abla,ALMERÍA
Ablanque,C/,"Concejo, 1",19442,Ablanque,GUADALAJARA
Ablitas,Calle,"Mayor, 78",31523,Ablitas,NAVARRA
