Apellido,Total
GARCIA,1464633
RODRIGUEZ,925137
GONZALEZ,924594
FERNANDEZ,914028
LOPEZ,869461
MARTINEZ,832270
SANCHEZ,816476
PEREZ,777361
GOMEZ,491138
MARTIN,487881
JIMENEZ,394105
RUIZ,367066
HERNANDEZ,362306
DIAZ,339109
MORENO,320356
MUÑOZ,282171
ALVAREZ,280431
ROMERO,220920
ALONSO,196207
GUTIERREZ,194205
NAVARRO,177838
TORRES,169446
DOMINGUEZ,157570
VAZQUEZ,147111
RAMOS,144544
GIL,140014
RAMIREZ,137092
SERRANO,131705
BLANCO,122540
MOLINA,121414
MORALES,120547
SUAREZ,119597
ORTEGA,117483
DELGADO,116565
CASTRO,115840
ORTIZ,107235
RUBIO,104300
MARIN,104153
SANZ,92509
NUÑEZ,90843
IGLESIAS,88723
MEDINA,88159
CORTES,85310
GARRIDO,85286
CASTILLO,84582
SANTOS,83679
LOZANO,79628
GUERRERO,79074
CANO,77159
PRIETO,73410
MENDEZ,72413
CRUZ,71260
CALVO,69570
HERRERA,69485
GALLEGO,69390
FLORES,69237
MARQUEZ,68981
LEON,68966
PEÑA,68861
VIDAL,68359
CABRERA,68058
CAMPOS,66140
VEGA,64610
FUENTES,63946
CARRASCO,63101
DIEZ,62541
REYES,61791
CABALLERO,60620
NIETO,60124
AGUILAR,59417
SANTANA,57923
PASCUAL,57623
HERRERO,57438
MONTERO,56289
HIDALGO,56234
LORENZO,56169
GIMENEZ,56110
IBAÑEZ,54986
FERRER,54150
SANTIAGO,53933
DURAN,53898
VARGAS,53485
BENITEZ,53185
MORA,52639
ARIAS,52245
VICENTE,52170
CARMONA,51835
CRESPO,49470
ROMAN,48339
SOTO,48081
PASTOR,47827
SAEZ,46877
VELASCO,46687
MOYA,45747
SOLER,45393
PARRA,45341
ROJAS,45132
ESTEBAN,44776
BRAVO,44720
GALLARDO,44608
PARDO,43424
MERINO,42649
FRANCO,42404
RIVERA,41833
LARA,41761
RIVAS,41552
ESPINOSA,41410
IZQUIERDO,40912
SILVA,40735
CAMACHO,40377
CASADO,39994
ARROYO,39937
VERA,39838
REDONDO,39786
RIOS,39287
REY,39249
LUQUE,39239
GALAN,39204
MONTES,38978
SIERRA,38851
OTERO,38710
SEGURA,38478
CARRILLO,38240
MENDOZA,38127
MARCOS,37363
SORIANO,36841
BERNAL,36521
MARTI,36426
ROBLES,36165
HEREDIA,35972
VALERO,35597
VILA,35497
PALACIOS,35108
EXPOSITO,34825
MACIAS,34681
GUERRA,34386
VARELA,34384
BENITO,34194
CONTRERAS,34092
ROLDAN,33773
ANDRES,33751
MATEO,33681
BUENO,33629
PEREIRA,33120
MIRANDA,32875
VILLAR,32831
GUILLEN,32639
MATEOS,32084
ESCUDERO,31982
AGUILERA,31937
CASAS,31185
APARICIO,30956
RIVERO,30882
PADILLA,30688
CALDERON,30442
MENENDEZ,30314
ESTEVEZ,30297
BELTRAN,30232
GALVEZ,30174
RICO,29924
ACOSTA,29916
SALAS,29779
JURADO,29592
CONDE,29530
SALAZAR,29486
GRACIA,29404
ABAD,29309
BERMUDEZ,29253
ARANDA,29188
QUINTANA,29185
PLAZA,29161
GUZMAN,29150
BLAZQUEZ,28647
SANTAMARIA,28136
ROCA,28118
MANZANO,27981
COSTA,27934
VILLANUEVA,27831
AVILA,27761
TRUJILLO,27758
HURTADO,27661
MIGUEL,27622
SERRA,27515
CUESTA,27414
RUEDA,27390
PACHECO,27290
TOMAS,27135
ESCOBAR,26702
MESA,26695
DE LA FUENTE,26586
SIMON,26414
DEL RIO,26191
LAZARO,26142
PONS,26124
SANCHO,26000
LUNA,25905
MILLAN,25798
ALARCON,25788
ZAMORA,25640
CASTAÑO,25507
BLASCO,25251
MALDONADO,24929
SALVADOR,24903
PAREDES,24808
BERMEJO,24756
BALLESTEROS,24520
VALVERDE,24424
BAUTISTA,24386
CHEN,24311
ANTON,24119
PONCE,24025
DE LA CRUZ,23982
MONTOYA,23775
OLIVA,23761
VALLE,23737
CORDERO,23592
LORENTE,23355
RODRIGO,23177
MURILLO,23153
CUEVAS,23022
COLLADO,22881
POZO,22848
JUAN,22799
MAS,22761
CUENCA,22698
MARTOS,22696
BARRERA,22262
ORDOÑEZ,22237
QUESADA,22235
BARROSO,22187
DE LA TORRE,22095
AMADOR,21921
MARCO,21908
ROS,21879
PULIDO,21609
ALBA,21548
CABELLO,21502
NAVAS,21494
ARENAS,21328
CORRAL,21266
GIMENO,21266
ROJO,21146
SORIA,21059
VALENCIA,21056
GALINDO,21038
AGUADO,21007
MENA,20962
PUIG,20930
SAIZ,20927
ESCRIBANO,20862
VALLEJO,20831
DOMINGO,20772
CARO,20743
ASENSIO,20599
LUCAS,20490
RAMON,20289
POLO,20280
MATA,20240
NARANJO,20232
REINA,20185
VILLALBA,20178
AGUIRRE,20075
PAZ,20014
LINARES,20005
MORAN,19733
OJEDA,19626
LEAL,19572
BURGOS,19315
BONILLA,19108
CARRETERO,19072
SOSA,18937
MOHAMED,18677
OLIVER,18619
ARAGON,18367
CACERES,18249
CARRION,18082
CORDOBA,18078
CASTELLANO,18065
VILLA,17962
CLEMENTE,17955
ROIG,17955
CARDENAS,17894
ROSA,17842
CHACON,17720
CALERO,17661
CORREA,17540
ANDREU,17511
CARRERA,17500
SINGH,17497
HERNANDO,17459
JUAREZ,17449
